set,code
Foundations Jumpstart,J25
Jumpstart 2022,J22
Jumpstart,JMP
Reality Fracture,FRA
Reality Fracture Collector Booster,FRA-C
The Hobbit,HOB
The Hobbit Collector Booster,HOB-C
Through the Omenpaths 2,OM2
Marvel Super Heroes,MSH
Marvel Super Heroes Collector Booster,MSH-C
Secrets of Strixhaven,SOS
Secrets of Strixhaven Collector Booster,SOS-C
Teenage Mutant Ninja Turtles,TMT
Teenage Mutant Ninja Turtles Collector Booster,TMT-C
Lorwyn Eclipsed,ECL
Lorwyn Eclipsed Collector Booster,ECL-C
Avatar: The Last Airbender,TLA
Avatar: The Last Airbender Jumpstart Booster,TLA-J
Avatar: The Last Airbender Collector Booster,TLA-C
Marvel's Spider-Man,SPM
Marvel's Spider-Man Collector Booster,SPM-C
Through the Omenpaths,OM1
Edge of Eternities,EOE
Edge of Eternities Collector Booster,EOE-C
Final Fantasy,FIN
Final Fantasy Collector Booster,FIN-C
Tarkir: Dragonstorm,TDM
Tarkir: Dragonstorm Collector Booster,TDM-C
Aetherdrift,DFT
Aetherdrift Collector Booster,DFT-C
Duskmourn: House of Horror,DSK
Duskmourn: House of Horror Collector Booster,DSK-C
Bloomburrow,BLB
Bloomburrow Collector Booster,BLB-C
Outlaws of Thunder Junction,OTJ
Outlaws of Thunder Junction Collector Booster,OTJ-C
The Big Score,BIG
Murders at Karlov Manor,MKM
Murders at Karlov Manor Collector Booster,MKM-C
The Lost Caverns of Ixalan,LCI
The Lost Caverns of Ixalan Collector Booster,LCI-C
Wilds of Eldraine,WOE
Wilds of Eldraine Collector Booster,WOE-C
March of the Machine: The Aftermath,MAT
March of the Machine: The Aftermath Collector Booster,MAT-C
March of the Machine,MOM
March of the Machine Jumpstart Booster,MOM-J
March of the Machine Collector Booster,MOM-C
Phyrexia: All Will Be One,ONE
Phyrexia: All Will Be One Jumpstart Booster,ONE-J
Phyrexia: All Will Be One Collector Booster,ONE-C
The Brothers' War,BRO
The Brothers' War Jumpstart Booster,BRO-J
The Brothers' War Collector Booster,BRO-C
Dominaria United,DMU
Dominaria United Jumpstart Booster,DMU-J
Dominaria United Collector Booster,DMU-C
Streets of New Capenna,SNC
Streets of New Capenna Collector Booster,SNC-C
Kamigawa: Neon Dynasty,NEO
Kamigawa: Neon Dynasty Collector Booster,NEO-C
Innistrad: Crimson Vow,VOW
Innistrad: Crimson Vow Collector Booster,VOW-C
Innistrad: Midnight Hunt,MID
Innistrad: Midnight Hunt Collector Booster,MID-C
Adventures in the Forgotten Realms,AFR
Adventures in the Forgotten Realms Collector Booster,AFR-C
Strixhaven: School of Mages,STX
Strixhaven: School of Mages Collector Booster,STX-C
Kaldheim,KHM
Kaldheim Collector Booster,KHM-C
Zendikar Rising,ZNR
Zendikar Rising Collector Booster,ZNR-C
Ikoria: Lair of Behemoths,IKO
Ikoria: Lair of Behemoths Collector Booster,IKO-C
Theros Beyond Death,THB
Theros Beyond Death Collector Booster,THB-C
Throne of Eldraine,ELD
Throne of Eldraine Collector Booster,ELD-C
War of the Spark,WAR
Ravnica Allegiance,RNA
Guilds of Ravnica,GRN
Dominaria,DOM
Rivals of Ixalan,RIX
Ixalan,XLN
Hour of Devastation,HOU
Amonkhet,AKH
Aether Revolt,AER
Kaladesh,KLD
Eldritch Moon,EMN
Shadows over Innistrad,SOI
Oath of the Gatewatch,OGW
Battle for Zendikar,BFZ
Dragons of Tarkir,DTK
Fate Reforged,FRF
Khans of Tarkir,KTK
Journey into Nyx,JOU
Born of the Gods,BNG
Theros,THS
Dragon's Maze,DGM
Gatecrash,GTC
Return to Ravnica,RTR
Avacyn Restored,AVR
Dark Ascension,DKA
Innistrad,ISD
New Phyrexia,NPH
Mirrodin Besieged,MBS
Scars of Mirrodin,SOM
Rise of the Eldrazi,ROE
Worldwake,WWK
Zendikar,ZEN
Alara Reborn,ARB
Conflux,CON
Shards of Alara,ALA
Eventide,EVE
Shadowmoor,SHM
Morningtide,MOR
Lorwyn,LRW
Future Sight,FUT
Planar Chaos,PLC
Time Spiral,TSP
Time Spiral Timeshifted,TSB
Coldsnap,CSP
Dissension,DIS
Guildpact,GPT
Ravnica: City of Guilds,RAV
Saviors of Kamigawa,SOK
Betrayers of Kamigawa,BOK
Champions of Kamigawa,CHK
Fifth Dawn,5DN
Darksteel,DST
Mirrodin,MRD
Scourge,SCG
Legions,LGN
Onslaught,ONS
Judgment,JUD
Torment,TOR
Odyssey,ODY
Apocalypse,APC
Planeshift,PLS
Invasion,INV
Prophecy,PCY
Nemesis,NEM
Mercadian Masques,MMQ
Urza's Destiny,UDS
Urza's Legacy,ULG
Urza's Saga,USG
Exodus,EXO
Stronghold,STH
Tempest,TMP
Weatherlight,WTH
Visions,VIS
Mirage,MIR
Alliances,ALL
Homelands,HML
Ice Age,ICE
Fallen Empires,FEM
The Dark,DRK
Legends,LEG
Antiquities,ATQ
Arabian Nights,ARN
